,price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,num-of-doors,normalized-losses,engine_efficiency,combined_mpg,engine_size_squared,horsepower_ordinal,engine_cylinders_interaction,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,aspiration_std,aspiration_turbo,fuel-type_diesel,fuel-type_gas,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo
33,6529.0,34,30,6000.0,76.0,9.2,3.41,2.91,92,4,1940,52.6,64.0,150.0,93.7,2.0,101.0,0.8260869565217391,32.4,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,7129.0,34,30,6000.0,76.0,9.2,3.41,2.91,92,4,1956,52.6,64.0,150.0,93.7,2.0,101.0,0.8260869565217391,32.4,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,7295.0,34,30,6000.0,76.0,9.2,3.41,2.91,92,4,2010,54.5,64.0,163.4,96.5,4.0,110.0,0.8260869565217391,32.4,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,7295.0,34,30,6000.0,76.0,9.2,3.41,2.92,92,4,2024,58.3,63.9,157.1,96.5,4.0,78.0,0.8260869565217391,32.4,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,7895.0,33,27,5800.0,86.0,9.0,3.58,3.15,110,4,2236,53.3,65.2,167.5,96.5,2.0,106.0,0.7818181818181819,30.6,12100,1,440,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,9095.0,33,27,5800.0,86.0,9.0,3.58,3.15,110,4,2289,53.3,65.2,167.5,96.5,2.0,106.0,0.7818181818181819,30.6,12100,1,440,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,8845.0,33,27,5800.0,86.0,9.0,3.58,3.15,110,4,2304,54.1,65.2,175.4,96.5,4.0,85.0,0.7818181818181819,30.6,12100,1,440,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,10295.0,33,27,5800.0,86.0,9.0,3.58,3.15,110,4,2372,54.1,62.5,175.4,96.5,4.0,85.0,0.7818181818181819,30.6,12100,1,440,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,12945.0,28,24,5800.0,101.0,9.0,3.58,3.15,110,4,2465,54.1,65.2,175.4,96.5,4.0,85.0,0.9181818181818182,26.400000000000002,12100,2,440,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,10345.0,31,25,5500.0,100.0,9.1,3.58,3.15,110,4,2293,51.0,66.0,169.1,96.5,2.0,107.0,0.9090909090909091,28.599999999999998,12100,1,440,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,6785.0,29,24,4800.0,78.0,8.5,3.23,3.31,111,4,2337,53.5,61.8,170.7,94.3,4.0,115.0,0.7027027027027027,27.0,12321,1,444,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,11048.0,29,24,5000.0,90.0,9.2,3.23,3.43,119,4,2734,51.4,65.2,172.6,96.0,2.0,115.0,0.7563025210084033,27.0,14161,1,476,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,32250.0,19,15,4750.0,176.0,8.1,4.17,3.63,258,6,4066,52.8,69.6,199.6,113.0,4.0,145.0,0.6821705426356589,17.4,66564,2,1548,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,35550.0,19,15,4750.0,176.0,8.1,4.17,3.63,258,6,4066,52.8,69.6,199.6,113.0,4.0,115.0,0.6821705426356589,17.4,66564,2,1548,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,36000.0,17,13,5000.0,262.0,11.5,2.76,3.54,326,12,3950,47.8,70.6,191.7,102.0,2.0,115.0,0.803680981595092,15.399999999999999,106276,3,3912,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,5195.0,31,30,5000.0,68.0,9.0,3.15,3.03,91,4,1890,54.1,64.2,159.1,93.1,2.0,104.0,0.7472527472527473,30.599999999999998,8281,1,364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
51,6095.0,38,31,5000.0,68.0,9.0,3.15,3.03,91,4,1900,54.1,64.2,159.1,93.1,2.0,104.0,0.7472527472527473,35.2,8281,1,364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
52,6795.0,38,31,5000.0,68.0,9.0,3.15,3.03,91,4,1905,54.1,64.2,159.1,93.1,2.0,104.0,0.7472527472527473,35.2,8281,1,364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,6695.0,38,31,5000.0,68.0,9.0,3.15,3.03,91,4,1945,54.1,64.2,166.8,93.1,4.0,113.0,0.7472527472527473,35.2,8281,1,364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
54,7395.0,38,31,5000.0,68.0,9.0,3.15,3.08,91,4,1950,54.1,64.2,166.8,93.1,4.0,113.0,0.7472527472527473,35.2,8281,1,364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,10945.0,23,17,6000.0,101.0,9.4,3.29,3.31,70,2,2380,49.6,65.7,169.0,95.3,2.0,150.0,1.4428571428571428,20.6,4900,2,140,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,11845.0,23,17,6000.0,101.0,9.4,3.29,3.31,70,2,2380,49.6,65.7,169.0,95.3,2.0,150.0,1.4428571428571428,20.6,4900,2,140,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
57,13645.0,23,17,6000.0,101.0,9.4,3.29,3.31,70,2,2385,49.6,65.7,169.0,95.3,2.0,150.0,1.4428571428571428,20.6,4900,2,140,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58,15645.0,23,16,6000.0,135.0,9.4,3.29,3.31,80,2,2500,49.6,65.7,169.0,95.3,2.0,150.0,1.6875,20.2,6400,2,160,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
59,8845.0,32,26,4800.0,84.0,8.6,3.39,3.39,122,4,2385,53.7,66.5,177.8,98.8,2.0,129.0,0.6885245901639344,29.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,8495.0,32,26,4800.0,84.0,8.6,3.39,3.39,122,4,2410,55.5,66.5,177.8,98.8,4.0,115.0,0.6885245901639344,29.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
61,10595.0,32,26,4800.0,84.0,8.6,3.39,3.39,122,4,2385,53.7,66.5,177.8,98.8,2.0,129.0,0.6885245901639344,29.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
62,10245.0,32,26,4800.0,84.0,8.6,3.39,3.39,122,4,2410,55.5,66.5,177.8,98.8,4.0,115.0,0.6885245901639344,29.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63,10795.0,42,36,4650.0,64.0,22.7,3.39,3.39,122,4,2443,55.5,66.5,177.8,98.8,4.0,115.0,0.5245901639344263,39.6,14884,1,488,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,11245.0,32,26,4800.0,84.0,8.6,3.39,3.39,122,4,2425,55.5,66.5,177.8,98.8,4.0,115.0,0.6885245901639344,29.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
65,18280.0,27,19,5000.0,120.0,8.0,3.16,3.76,140,4,2670,54.4,66.1,175.0,104.9,4.0,118.0,0.8571428571428571,23.8,19600,2,560,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,18344.0,39,31,4200.0,72.0,22.0,3.64,3.43,134,4,2700,54.4,66.1,175.0,104.9,4.0,115.0,0.5373134328358209,35.8,17956,1,536,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
67,25552.0,25,22,4350.0,123.0,21.5,3.64,3.58,183,5,3515,56.5,70.3,190.9,110.0,4.0,93.0,0.6721311475409836,23.8,33489,2,915,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
68,28248.0,25,22,4350.0,123.0,21.5,3.64,3.58,183,5,3750,58.7,70.3,190.9,110.0,4.0,93.0,0.6721311475409836,23.8,33489,2,915,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
69,28176.0,25,22,4350.0,123.0,21.5,3.64,3.58,183,5,3495,54.9,70.3,187.5,106.7,2.0,93.0,0.6721311475409836,23.8,33489,2,915,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
70,31600.0,25,22,4350.0,123.0,21.5,3.64,3.58,183,5,3770,56.3,71.7,202.6,115.6,4.0,93.0,0.6721311475409836,23.8,33489,2,915,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
71,34184.0,18,16,4750.0,155.0,8.3,3.1,3.46,234,8,3740,56.5,71.7,202.6,115.6,4.0,115.0,0.6623931623931624,17.2,54756,2,1872,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
72,35056.0,18,16,4750.0,155.0,8.3,3.1,3.46,234,8,3685,50.8,70.5,180.3,96.6,2.0,142.0,0.6623931623931624,17.2,54756,2,1872,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
